Task_Groups,Number_of_Task_Groups
"{0: [12, 61, 9], 1: [85, 91, 6, 27], 2: [80], 3: [83, 52, 78, 2, 22, 28], 4: [87, 57], 5: [86], 6: [20, 55, 10], 7: [81, 89, 24], 8: [30, 67, 70], 9: [59, 18], 10: [25, 84], 11: [76], 12: [92], 13: [5, 46, 90]}",14
"{0: [2, 55], 1: [83, 84, 28, 92, 10], 2: [52, 61, 67, 27, 18], 3: [76, 78, 22, 6], 4: [86, 91, 89, 70], 5: [20, 5, 59], 6: [25, 85, 24], 7: [81, 87, 46, 12, 90, 57], 8: [80], 9: [9], 10: [30]}",11
"{0: [80, 76, 20, 6, 92], 1: [85, 61, 67, 90, 28, 24], 2: [2, 91], 3: [52, 84, 5, 30, 57, 10], 4: [78, 55], 5: [9, 18], 6: [83, 89], 7: [86, 46, 12], 8: [87, 22, 27], 9: [59], 10: [25, 70], 11: [81]}",12
"{0: [59, 18, 10], 1: [80, 46, 61, 70], 2: [87, 67, 27], 3: [52, 81, 12, 89, 9, 24], 4: [30, 2, 90], 5: [84, 78, 28], 6: [25, 85, 86, 91, 92], 7: [83], 8: [76, 57], 9: [20], 10: [22], 11: [5, 55, 6]}",12
"{0: [86], 1: [24], 2: [52, 80, 78, 55, 61], 3: [90], 4: [87, 22, 57, 6, 10], 5: [20, 5, 67, 18], 6: [83, 25, 2], 7: [84], 8: [46, 12, 28, 9], 9: [81, 76], 10: [27, 70], 11: [85, 59], 12: [89], 13: [91], 14: [92], 15: [30]}",16
"{0: [55, 90], 1: [85, 46], 2: [84, 87], 3: [52], 4: [80, 86, 30, 9], 5: [22], 6: [25, 91, 57], 7: [83, 76, 20, 70, 92, 18], 8: [81, 5, 61, 6], 9: [2, 12], 10: [28, 24, 27, 10], 11: [78, 67, 89, 59]}",12
"{0: [80, 28, 59, 92, 10], 1: [85, 5, 18], 2: [52, 25, 20, 84, 2, 24], 3: [78, 87, 46, 57], 4: [86, 12, 6], 5: [83, 81, 76], 6: [30, 61, 9], 7: [55], 8: [22, 27], 9: [90, 70], 10: [67, 91], 11: [89]}",12
"{0: [61, 10], 1: [80, 90, 70, 92], 2: [52, 22, 24], 3: [18], 4: [25, 20, 91], 5: [85, 5, 30, 27], 6: [57, 6, 9], 7: [83, 81, 78, 87, 46], 8: [84, 67, 89, 28], 9: [76, 2, 55], 10: [86, 59], 11: [12]}",12
"{0: [25, 10], 1: [61], 2: [30, 28, 70, 18], 3: [85, 22], 4: [83, 87, 67, 6, 27], 5: [46, 90, 89], 6: [81, 80], 7: [57, 92], 8: [52, 76, 84, 12, 9, 24], 9: [78, 5, 55, 59], 10: [2], 11: [86, 91], 12: [20]}",13
"{0: [83, 80], 1: [76, 85, 30, 55], 2: [81, 25, 20, 2, 12, 67], 3: [78, 61, 89], 4: [86, 87, 57], 5: [22, 28, 18], 6: [90, 6, 59, 92, 10], 7: [52, 9, 24, 27], 8: [91, 70], 9: [84, 46], 10: [5]}",11
"{0: [83, 46, 12, 89], 1: [84, 91, 27], 2: [87, 10], 3: [80], 4: [52, 85], 5: [86, 6, 9, 70, 92], 6: [81, 20, 78, 30, 2], 7: [25, 61, 22, 28], 8: [5, 67, 90], 9: [55, 24], 10: [76], 11: [57, 59, 18]}",12
"{0: [81, 25, 84], 1: [52, 20, 5, 9], 2: [55, 12, 18, 10], 3: [86], 4: [87, 59], 5: [85, 57, 27], 6: [46, 61, 90], 7: [78, 91, 22, 28], 8: [83, 70, 92], 9: [30, 6], 10: [80, 67], 11: [76, 2, 24], 12: [89]}",13
"{0: [30, 46], 1: [52, 5, 91, 59], 2: [28], 3: [83, 10], 4: [80, 90, 92], 5: [78], 6: [76, 24], 7: [55, 6, 27], 8: [85, 87, 61, 67, 22], 9: [20, 12, 9], 10: [25, 2, 89, 57, 70], 11: [86, 18], 12: [81], 13: [84]}",14
"{0: [81, 85, 30, 90, 89, 24], 1: [25, 20, 5, 12, 28, 10], 2: [76, 22], 3: [52, 87, 91, 6], 4: [83, 86, 84, 78, 92], 5: [61, 9], 6: [67, 70], 7: [2, 59], 8: [46, 27, 18], 9: [80, 55, 57]}",10
"{0: [84, 12], 1: [25], 2: [81, 2, 91], 3: [28, 10], 4: [52, 22, 9], 5: [5, 67, 27], 6: [83, 85, 78, 87], 7: [80, 20, 55, 6, 92], 8: [24], 9: [90, 57, 70], 10: [86, 30, 61], 11: [59], 12: [89], 13: [46], 14: [76], 15: [18]}",16
"{0: [81, 86, 5], 1: [30, 67, 6, 92], 2: [80, 25, 84, 10], 3: [2, 61], 4: [12, 27], 5: [85, 87, 59, 70], 6: [83, 76, 46], 7: [57, 9, 24], 8: [90, 91, 89, 18], 9: [78, 55], 10: [52, 20, 22, 28]}",11
"{0: [86, 55, 61, 6, 24, 92], 1: [76, 84, 46, 12, 67, 28], 2: [20, 90], 3: [52, 78, 87, 59], 4: [22, 89, 27, 10], 5: [80, 30, 70], 6: [25, 57, 9], 7: [85, 91, 18], 8: [83, 5, 2], 9: [81]}",10
"{0: [76, 30, 2, 22, 6, 27], 1: [24, 10], 2: [25, 78, 5, 55], 3: [83, 85, 92], 4: [80, 87, 12, 59, 18], 5: [46, 70], 6: [57], 7: [52, 61, 67], 8: [91, 9], 9: [81, 90, 89], 10: [20, 84], 11: [86], 12: [28]}",13
"{0: [80, 86, 5, 2, 22, 57, 59, 10], 1: [76, 25, 78, 28, 24], 2: [83, 52, 61, 91], 3: [55, 87, 90], 4: [27, 18], 5: [92], 6: [81, 85, 12, 89], 7: [84, 30], 8: [20, 9, 70], 9: [46, 67], 10: [6]}",11
"{0: [90, 22, 92], 1: [80], 2: [83, 84, 2, 61], 3: [76, 25], 4: [81, 55, 59], 5: [5, 30, 12, 57, 18], 6: [85, 20, 89, 9, 27, 10], 7: [86, 70], 8: [46, 28], 9: [52, 87], 10: [91, 6, 24], 11: [67], 12: [78]}",13
"{0: [80, 30, 91, 18], 1: [83, 5, 55, 61, 9], 2: [76, 46, 22, 89], 3: [86, 78, 90, 59, 10], 4: [81, 87, 70], 5: [2, 12, 28], 6: [52, 25, 84], 7: [85, 24, 27, 92], 8: [6], 9: [20, 57], 10: [67]}",11
"{0: [76, 86, 70], 1: [85, 87, 57, 24, 59], 2: [25, 5, 61, 10], 3: [6, 92, 18], 4: [81, 67, 90, 91, 9], 5: [28], 6: [84, 27], 7: [52, 20, 30], 8: [83], 9: [12, 22], 10: [55, 46], 11: [2, 89], 12: [80, 78]}",13
"{0: [20, 61], 1: [85], 2: [28], 3: [12, 22], 4: [83, 84, 46, 57], 5: [81, 55, 91, 6], 6: [24, 27, 70], 7: [5, 67], 8: [80, 86], 9: [52, 59], 10: [76, 25, 30, 90, 9], 11: [78, 87, 89], 12: [2, 92, 18, 10]}",13
"{0: [9, 24, 59], 1: [52, 6], 2: [84, 78, 22, 57], 3: [30, 87], 4: [20, 55, 91, 27], 5: [76, 61], 6: [90, 89, 28, 10], 7: [25], 8: [86], 9: [5], 10: [83, 46, 12], 11: [81, 80, 85, 92], 12: [2, 67, 70, 18]}",13
"{0: [52, 84, 92], 1: [81, 6, 9], 2: [78, 5, 22, 59], 3: [83, 76, 25, 85, 55, 70], 4: [12, 10], 5: [91], 6: [80, 30, 28], 7: [20, 86, 61, 67, 18], 8: [2, 87, 90, 24], 9: [27], 10: [46, 89], 11: [57]}",12
"{0: [84], 1: [76, 86, 6], 2: [81, 2, 18], 3: [30], 4: [5, 55, 87, 90, 89, 27], 5: [25, 57, 9, 59, 10], 6: [52, 46, 67, 70], 7: [85, 78, 24], 8: [80, 61, 28, 92], 9: [91], 10: [12, 22], 11: [20], 12: [83]}",13
"{0: [85, 86, 89, 24], 1: [80, 20, 2, 70, 18], 2: [12, 67, 90, 28], 3: [76, 22, 27], 4: [57, 9, 59, 10], 5: [55, 91, 92], 6: [83, 52, 78], 7: [25, 87, 61], 8: [81, 46], 9: [30, 6], 10: [84, 5]}",11
"{0: [83, 20, 55, 24], 1: [81, 25, 85, 5], 2: [67, 90], 3: [89, 92], 4: [52, 84, 59], 5: [27, 70], 6: [28], 7: [86, 87, 61, 57], 8: [46, 18], 9: [76, 78, 91, 22], 10: [30, 2, 6], 11: [10], 12: [80, 12], 13: [9]}",14
"{0: [2, 55], 1: [81, 30, 12, 91, 10], 2: [70], 3: [76, 46, 6], 4: [27, 59], 5: [84, 78, 5, 61, 22], 6: [28], 7: [83], 8: [85, 89], 9: [87, 92], 10: [52, 67, 24], 11: [86], 12: [25, 57, 18], 13: [80, 90, 9], 14: [20]}",15
"{0: [83, 67, 59], 1: [2, 61, 28], 2: [78, 30, 55, 89, 6], 3: [86, 5, 9, 70], 4: [52, 80, 27], 5: [81, 57], 6: [25, 87, 46], 7: [20, 12, 22, 24, 18], 8: [92], 9: [84], 10: [76], 11: [90, 10], 12: [85, 91]}",13
"{0: [20, 78, 28], 1: [76, 30, 22, 70], 2: [12, 27], 3: [83, 52, 6, 9, 59], 4: [61, 67], 5: [81, 91, 92], 6: [80, 25, 84, 87], 7: [46, 90, 24], 8: [5], 9: [85, 86, 2, 55, 89, 57, 18, 10]}",10
"{0: [76, 78, 24], 1: [81, 85, 2], 2: [30, 27], 3: [12], 4: [83, 86, 22, 89, 6], 5: [5, 90, 57, 70, 92], 6: [80, 20, 61, 67], 7: [87, 28, 9, 59], 8: [25, 10], 9: [52, 46], 10: [84], 11: [18], 12: [55, 91]}",13
"{0: [85, 84, 5, 28, 24], 1: [25, 46, 9, 70, 18], 2: [80, 86, 90], 3: [83, 20, 57], 4: [52, 6], 5: [87, 12, 27, 10], 6: [61], 7: [2, 89, 92], 8: [81], 9: [55, 91], 10: [78, 30, 67, 22, 59], 11: [76]}",12
"{0: [90, 59], 1: [52, 81, 91, 70], 2: [84, 61, 27, 10], 3: [25, 20, 55, 6, 28], 4: [30, 12, 67], 5: [76, 86], 6: [80, 78, 2, 57, 9], 7: [5, 87, 92, 18], 8: [83, 46, 22], 9: [85, 89, 24]}",10
"{0: [80, 76, 30, 67, 91, 70], 1: [5, 87, 59, 18], 2: [84, 12, 61, 22, 6, 9, 10], 3: [2], 4: [25, 55, 90, 28, 27], 5: [89, 92], 6: [83, 46], 7: [20], 8: [52, 81, 85, 86], 9: [57, 24], 10: [78]}",11
"{0: [46, 24, 18], 1: [84, 5, 30, 55, 12], 2: [80, 59, 92], 3: [27], 4: [52, 91], 5: [81, 86, 22, 89, 28], 6: [76, 25, 85, 61, 90], 7: [2, 70], 8: [57], 9: [20, 87, 67], 10: [9, 10], 11: [83, 78], 12: [6]}",13
"{0: [52, 91], 1: [80, 92], 2: [5, 46, 22, 89], 3: [84, 57, 24, 27, 70], 4: [2, 87, 90, 9], 5: [76, 85, 30, 12, 6], 6: [86, 28, 18], 7: [83, 25], 8: [78, 55], 9: [81, 20, 61, 59], 10: [67], 11: [10]}",12
"{0: [22, 18], 1: [52, 86, 87, 12, 57, 59], 2: [46, 67, 70], 3: [84, 78, 30, 2, 90, 91, 24], 4: [81, 9], 5: [76, 61, 89, 6], 6: [55, 28, 27], 7: [80, 92], 8: [83, 25, 20], 9: [85, 5, 10]}",10
"{0: [81, 86, 87, 57], 1: [80, 55, 27, 59], 2: [78, 22, 18], 3: [76, 85, 9], 4: [84, 12, 91], 5: [20, 30, 28, 92], 6: [2, 61, 67], 7: [70], 8: [25, 89], 9: [52, 46, 90, 6], 10: [5], 11: [24, 10], 12: [83]}",13
"{0: [52, 81, 2, 61, 90, 9, 24], 1: [25, 86, 78, 89, 28, 92, 18], 2: [85, 84, 67, 27], 3: [80, 55, 22, 59], 4: [76, 30, 87, 91], 5: [83, 46, 70], 6: [20, 57], 7: [5, 12, 6, 10]}",8
"{0: [80, 25, 85, 46], 1: [86, 55, 28, 18, 10], 2: [81, 5, 61], 3: [30, 12, 92], 4: [22], 5: [76, 20], 6: [89, 57, 27, 70], 7: [83, 90], 8: [84, 2, 87], 9: [78, 24], 10: [52], 11: [6, 9, 59], 12: [67], 13: [91]}",14
"{0: [81, 85, 67, 91], 1: [83, 55, 46, 61, 22], 2: [86, 2], 3: [20, 28, 59], 4: [25, 5, 87, 89], 5: [57, 6, 27], 6: [52, 76, 90, 10], 7: [30, 24, 70], 8: [84, 12, 18], 9: [78, 9], 10: [80, 92]}",11
"{0: [83, 80, 67, 57, 9, 59], 1: [2, 91], 2: [84, 87, 28, 10], 3: [78, 90, 22], 4: [81, 5, 55, 27], 5: [30], 6: [76, 25, 85, 70, 18], 7: [52, 20], 8: [86, 12, 61, 89, 6, 24], 9: [46, 92]}",10
"{0: [83, 81, 78, 5, 46, 10], 1: [61, 91, 6, 59], 2: [52, 80, 85], 3: [20, 30], 4: [76, 86, 89, 18], 5: [90, 27], 6: [87, 28], 7: [24], 8: [2, 22], 9: [55, 9, 70, 92], 10: [12, 67], 11: [25, 84, 57]}",12
"{0: [86, 5, 22, 59], 1: [78, 87, 6, 70], 2: [25, 90], 3: [20, 67], 4: [85, 84, 24], 5: [83, 55, 28], 6: [76, 30, 57, 92, 18], 7: [52, 81, 80, 2, 91, 89, 9], 8: [46, 12], 9: [10], 10: [27], 11: [61]}",12
"{0: [5, 46], 1: [80, 86, 84, 2], 2: [25, 78, 55, 18], 3: [12, 6, 70], 4: [76, 22, 10], 5: [81, 85, 90], 6: [87, 67, 92], 7: [91], 8: [83, 20, 57, 59], 9: [9], 10: [52], 11: [89], 12: [30, 27], 13: [61], 14: [28, 24]}",15
"{0: [2, 90, 70, 18], 1: [20, 61, 91], 2: [25, 78, 24, 59], 3: [80, 22, 89], 4: [84, 12, 28], 5: [83, 5, 57, 92], 6: [85, 86, 46, 27, 10], 7: [52, 87], 8: [6, 9], 9: [76, 30, 67], 10: [81, 55]}",11
"{0: [46, 6, 28], 1: [83, 89], 2: [76, 67], 3: [22, 9, 18], 4: [20, 55, 12, 90, 10], 5: [85, 84, 27], 6: [80, 91], 7: [2, 61], 8: [57, 70], 9: [30], 10: [52], 11: [86, 78, 87, 24, 92], 12: [81, 25, 5], 13: [59]}",14
"{0: [86, 30, 92, 10], 1: [5, 22, 9], 2: [2, 12, 67, 89, 24, 18], 3: [57, 6], 4: [81, 25, 84, 59], 5: [83, 85, 78], 6: [52, 76, 55, 70], 7: [80, 87, 27], 8: [90, 28], 9: [46, 61, 91], 10: [20]}",11
"{0: [80, 46, 91], 1: [78, 18], 2: [12, 89], 3: [25, 86, 87, 67], 4: [70], 5: [61, 57, 92], 6: [5, 59], 7: [83, 52, 81, 85, 28], 8: [20, 9], 9: [2, 10], 10: [76, 90], 11: [84, 6, 27], 12: [55], 13: [30, 22], 14: [24]}",15
"{0: [84, 12, 22, 27], 1: [78, 90, 9, 18], 2: [52, 25, 67, 28, 59, 92], 3: [83, 55, 91, 70], 4: [86, 89, 57], 5: [76, 5, 46, 10], 6: [20, 30, 2, 87, 6], 7: [81, 85, 61, 24], 8: [80]}",9
"{0: [76, 9, 59, 92, 10], 1: [78, 2, 18], 2: [89], 3: [91, 57, 24], 4: [83, 81, 87, 90], 5: [86, 22], 6: [52, 84, 5, 46], 7: [20, 30, 12, 61, 70], 8: [67, 28], 9: [25, 85, 6, 27], 10: [80, 55]}",11
"{0: [25, 9, 92], 1: [81, 91, 28], 2: [2, 46, 61, 6, 24, 59, 10], 3: [30, 87, 22], 4: [55, 18], 5: [20, 84, 5, 67], 6: [52, 86, 27], 7: [83, 80, 78, 90, 89, 57, 70], 8: [76, 85, 12]}",9
"{0: [83, 80, 61, 6, 92], 1: [85, 86, 55], 2: [78, 5, 90, 9, 59, 18], 3: [22], 4: [84], 5: [81, 87, 46, 57, 70], 6: [67, 91, 28, 24], 7: [52, 30, 2, 10], 8: [76, 20, 89], 9: [25, 27], 10: [12]}",11
"{0: [30, 89, 70], 1: [80, 85, 20, 84, 78, 46], 2: [86, 55, 61, 57, 9, 92], 3: [2], 4: [52, 90, 6, 27, 18], 5: [5], 6: [87, 59, 10], 7: [67, 91, 28], 8: [25, 22], 9: [83, 81], 10: [12], 11: [76, 24]}",12
"{0: [81, 84, 24], 1: [76, 87, 91, 6, 10], 2: [86, 9, 70, 92], 3: [25], 4: [30, 55, 90, 28, 27], 5: [46], 6: [12, 89, 57], 7: [61, 67], 8: [52, 20], 9: [85, 22], 10: [2, 59], 11: [83, 18], 12: [80, 5], 13: [78]}",14
"{0: [80, 18], 1: [67, 90, 57, 24, 27, 59], 2: [52, 20, 2, 6, 70], 3: [86, 84, 5, 46, 12], 4: [78, 22, 89, 28], 5: [61], 6: [76, 30, 91, 10], 7: [83, 81, 55, 9], 8: [85, 87], 9: [25, 92]}",10
"{0: [52, 46, 61, 90], 1: [85, 78], 2: [20, 91, 22], 3: [81, 25, 86, 87, 27, 92], 4: [28, 9, 10], 5: [5, 89, 57, 6], 6: [84, 70], 7: [59], 8: [30, 67], 9: [2, 55, 12, 18], 10: [83, 80, 76], 11: [24]}",12
"{0: [52, 20, 84, 12, 9, 59, 70], 1: [85, 86, 30, 67], 2: [81, 6], 3: [2, 22, 24, 10], 4: [76, 87, 57, 27], 5: [80, 5], 6: [89], 7: [78, 46, 90, 92], 8: [83, 61, 91, 28], 9: [25, 55, 18]}",10
"{0: [80, 86, 78, 28, 10], 1: [5, 24], 2: [81, 20, 84, 30, 87, 92], 3: [83, 67, 91, 6], 4: [22, 89, 57, 9, 59], 5: [25, 85, 61], 6: [46, 70], 7: [52, 90, 27, 18], 8: [55], 9: [2, 12], 10: [76]}",11
"{0: [81], 1: [85, 86, 78], 2: [83, 20, 12, 61, 22, 28], 3: [80, 10], 4: [52, 84, 46, 70], 5: [55, 90, 57], 6: [89], 7: [87, 91, 9, 24], 8: [76, 25, 5, 27, 18], 9: [30], 10: [92], 11: [67, 6], 12: [59], 13: [2]}",14
"{0: [86, 87, 12], 1: [91, 9], 2: [30, 67, 90, 70], 3: [83, 52, 20, 18], 4: [84, 5, 2], 5: [22, 28, 24, 27], 6: [80, 61], 7: [76, 25, 89], 8: [78, 59], 9: [85, 46, 6], 10: [92], 11: [81], 12: [57, 10], 13: [55]}",14
"{0: [80, 91, 89, 6, 28], 1: [85, 30, 46, 12, 57], 2: [55, 24], 3: [52, 20, 78], 4: [83, 9], 5: [25, 86, 84, 87, 61, 27], 6: [67, 18], 7: [81, 59, 10], 8: [5, 2, 70], 9: [76, 90, 22], 10: [92]}",11
"{0: [83, 84, 5, 30, 46, 6, 59], 1: [81, 67, 24], 2: [78, 90], 3: [85, 55, 22, 27, 70], 4: [25, 61, 89], 5: [52, 2, 28, 10], 6: [12], 7: [86, 91, 57, 18], 8: [76], 9: [80, 87], 10: [92], 11: [20, 9]}",12
"{0: [85, 67, 10], 1: [20, 46, 12, 90, 91, 9, 59], 2: [30, 87, 61, 22], 3: [52, 5, 89, 57, 6], 4: [86, 2], 5: [76, 84, 70, 18], 6: [83, 25, 28], 7: [80, 78], 8: [81, 55, 92], 9: [24, 27]}",10
"{0: [2, 89, 57, 24], 1: [86, 46, 67, 91], 2: [5, 55, 87, 28, 9, 27, 92], 3: [81, 22], 4: [80, 85, 30, 12], 5: [25], 6: [52, 70, 18, 10], 7: [84, 78], 8: [20, 59], 9: [90, 6], 10: [83, 76], 11: [61]}",12
"{0: [20, 84], 1: [25, 86, 78, 67, 18], 2: [52, 76, 9], 3: [2, 91, 28, 27, 92], 4: [30, 70], 5: [6], 6: [81, 55, 24, 10], 7: [83, 5, 87, 12, 59], 8: [90, 22], 9: [80, 61, 89], 10: [46, 57], 11: [85]}",12
"{0: [52, 30, 46, 24, 59], 1: [25, 22, 18], 2: [67], 3: [76, 5], 4: [85], 5: [86, 12, 91, 27, 70], 6: [2, 28], 7: [80, 90, 92], 8: [20, 78, 87, 89], 9: [84, 57, 6], 10: [61, 9, 10], 11: [81], 12: [83, 55]}",13
"{0: [81, 78, 89], 1: [83, 52, 85, 22, 70, 92], 2: [2, 55, 46, 18], 3: [5], 4: [20, 86, 61, 10], 5: [80, 91, 6, 9, 59], 6: [90], 7: [76, 67, 27], 8: [25, 30, 87, 28], 9: [12, 57], 10: [84], 11: [24]}",12
"{0: [81, 5, 2, 87, 89, 6], 1: [67, 57], 2: [85, 84, 28], 3: [83, 55], 4: [46, 61, 90, 92, 18], 5: [76, 22, 24], 6: [52, 30], 7: [9, 70], 8: [20, 10], 9: [86, 12, 91, 59], 10: [27], 11: [80, 25, 78]}",12
"{0: [55, 92], 1: [20, 89], 2: [52, 5, 90, 22, 18, 10], 3: [83, 87], 4: [84, 67, 57], 5: [27], 6: [25, 86, 6], 7: [85, 78], 8: [61, 91, 28, 9, 24], 9: [80, 46, 12, 59], 10: [2, 70], 11: [76], 12: [81], 13: [30]}",14
"{0: [2, 87, 24], 1: [86, 46, 28, 59], 2: [52], 3: [5, 30, 92], 4: [80, 76, 61, 27], 5: [84, 78, 70, 10], 6: [55, 18], 7: [90, 57], 8: [81, 91, 89, 6], 9: [83], 10: [25, 85], 11: [20, 9], 12: [12], 13: [22], 14: [67]}",15
"{0: [87, 59, 70, 10], 1: [80, 25], 2: [78, 9, 27], 3: [52, 84, 22, 57, 24], 4: [76, 85, 90, 92], 5: [83, 81, 30, 55], 6: [86, 2, 91, 6], 7: [89], 8: [5, 46], 9: [18], 10: [12, 28], 11: [20, 61, 67]}",12
"{0: [12, 90, 22, 18], 1: [83, 84, 67, 9, 10], 2: [52, 76, 5, 59], 3: [81, 55, 61, 6], 4: [25, 78, 2], 5: [20, 57, 92], 6: [91, 24, 27], 7: [86, 87, 89], 8: [80], 9: [28, 70], 10: [85, 30], 11: [46]}",12
"{0: [81, 89], 1: [25, 78, 5, 67], 2: [83, 86, 57, 27, 59], 3: [46, 6, 24], 4: [85, 20, 91, 9], 5: [28], 6: [52, 2, 87, 12, 61, 90, 22], 7: [80, 76, 84, 30], 8: [55, 92, 18], 9: [70, 10]}",10
"{0: [84, 18], 1: [27], 2: [85, 12, 22, 24], 3: [30, 2], 4: [55, 61, 10], 5: [83, 46], 6: [87, 91, 70], 7: [52, 25, 86], 8: [76, 89, 6, 9, 59, 92], 9: [28], 10: [5], 11: [80, 78], 12: [81, 20, 90, 57], 13: [67]}",14
"{0: [30, 22, 92, 18], 1: [84, 61, 67, 90, 10], 2: [83, 20, 59], 3: [78, 12], 4: [52, 25, 57, 70], 5: [86, 24], 6: [87, 46, 28, 9], 7: [55, 89, 6], 8: [81, 85, 5], 9: [76], 10: [80, 2, 91, 27]}",11
"{0: [78, 2, 87, 22, 24], 1: [81, 28], 2: [27], 3: [20, 67, 92], 4: [83, 76, 84, 61], 5: [5, 57], 6: [25, 10], 7: [30, 6, 18], 8: [9], 9: [80, 91, 89], 10: [46, 90], 11: [85, 12, 70], 12: [55], 13: [86, 59], 14: [52]}",15
"{0: [76, 18], 1: [83, 22], 2: [55, 12], 3: [67, 27, 59], 4: [46, 61, 6], 5: [5, 89, 57, 24], 6: [86, 84, 87, 70], 7: [78, 91, 92], 8: [85, 10], 9: [90, 9], 10: [81, 28], 11: [20, 2], 12: [52, 80, 25, 30]}",13
"{0: [25, 5, 2, 90, 70], 1: [83, 24, 59, 92], 2: [12, 57], 3: [20, 89, 28], 4: [52, 80, 76, 78, 30, 46, 91, 22, 10], 5: [84], 6: [86, 87, 61, 18], 7: [9, 27], 8: [81, 85, 67], 9: [6], 10: [55]}",11
"{0: [81, 76, 87, 91, 6], 1: [86, 5, 67, 89], 2: [78, 55], 3: [9], 4: [20, 70], 5: [30, 28, 27], 6: [25, 2, 57, 18], 7: [52, 12, 22], 8: [84, 61, 10], 9: [90], 10: [83, 80], 11: [59], 12: [85, 24], 13: [92], 14: [46]}",15
"{0: [5, 89, 9, 92], 1: [81, 84, 78, 87, 28], 2: [25, 67, 90, 24], 3: [80, 86, 55, 6], 4: [85, 22], 5: [20, 2, 91, 27], 6: [61], 7: [18], 8: [12, 10], 9: [83, 59], 10: [30, 70], 11: [76, 46, 57], 12: [52]}",13
"{0: [84, 27], 1: [30, 2, 55, 91], 2: [5, 87, 46, 67, 9], 3: [25, 85, 78, 89, 28], 4: [90, 59, 92], 5: [81, 80, 18], 6: [52, 76, 86, 12, 70, 10], 7: [57, 24], 8: [83, 20, 22, 6], 9: [61]}",10
"{0: [52, 87, 46], 1: [84, 78, 10], 2: [85, 9, 24], 3: [30, 55, 92], 4: [6], 5: [83, 25, 86, 61, 90, 57], 6: [2, 12], 7: [91, 70], 8: [81, 5, 59], 9: [80, 20, 22], 10: [89], 11: [27], 12: [28, 18], 13: [76, 67]}",14
"{0: [78, 30, 67, 59], 1: [52, 20, 86], 2: [81, 12, 89], 3: [27, 10], 4: [76, 92], 5: [85, 84, 87, 57, 24], 6: [80, 61, 6, 28], 7: [83, 25, 5, 46], 8: [91, 22], 9: [9, 70], 10: [55, 18], 11: [90], 12: [2]}",13
"{0: [76, 55, 46, 89, 57, 59], 1: [85, 67, 90, 27, 18], 2: [83, 81, 84, 78, 30, 61, 91, 22, 10], 3: [24, 92], 4: [2, 28], 5: [86, 12], 6: [20, 87], 7: [80, 70], 8: [5], 9: [52, 6], 10: [25], 11: [9]}",12
"{0: [5, 61, 22], 1: [84, 2, 46, 10], 2: [55, 87, 6], 3: [83, 76, 20, 92], 4: [80, 91, 57, 9], 5: [30, 12, 27], 6: [78, 90], 7: [28, 24, 59], 8: [52, 85, 18], 9: [81, 25, 67, 70], 10: [86, 89]}",11
"{0: [81, 30, 57], 1: [52, 20, 6, 59], 2: [85, 55, 89, 28, 70], 3: [84, 12, 9, 27], 4: [25, 18, 10], 5: [76, 5, 46], 6: [2], 7: [86, 90], 8: [83, 80, 78, 67], 9: [24, 92], 10: [87, 91], 11: [22], 12: [61]}",13
"{0: [81, 5, 70], 1: [52, 78, 87, 22, 9, 24, 92, 10], 2: [2, 61], 3: [85, 90, 57, 28], 4: [76, 84, 89], 5: [46, 12], 6: [80, 20, 86, 18], 7: [83, 30, 67], 8: [25, 91], 9: [6], 10: [55], 11: [27, 59]}",12
"{0: [52, 5], 1: [84, 91, 57], 2: [22, 28, 92], 3: [80, 89, 10], 4: [76, 86, 78, 30, 2, 9], 5: [25, 6, 18], 6: [83, 20, 55, 67], 7: [81, 85, 61, 59], 8: [87, 46, 90, 27, 70], 9: [24], 10: [12]}",11
"{0: [83, 2, 89], 1: [81, 57, 70, 10], 2: [55, 61, 22], 3: [52, 86, 12, 18], 4: [78, 87], 5: [80, 84, 30], 6: [90, 28, 24], 7: [25, 20, 5], 8: [67, 6, 59], 9: [76], 10: [46], 11: [85, 92], 12: [91, 9, 27]}",13
"{0: [76, 20, 5, 55, 90], 1: [84, 57, 28], 2: [52, 25, 78, 10], 3: [2], 4: [85, 86], 5: [83, 12, 24, 18], 6: [30, 61, 22, 9, 59], 7: [87, 6], 8: [81, 91, 27], 9: [80, 67, 70, 92], 10: [89], 11: [46]}",12
"{0: [86, 87], 1: [85, 91, 22, 6], 2: [25, 84, 90], 3: [83, 24, 27], 4: [5, 12], 5: [78, 30, 9], 6: [52, 80, 67, 28, 18], 7: [61, 57, 92], 8: [76, 70, 10], 9: [81, 59], 10: [20, 55], 11: [2, 46, 89]}",12
"{0: [86, 84, 61, 10], 1: [83, 2, 12, 91, 57, 24, 18], 2: [78, 89, 70], 3: [20], 4: [52, 80, 25, 55, 87, 46, 22], 5: [28, 9], 6: [30, 27, 59, 92], 7: [5, 90], 8: [81, 76], 9: [85, 67, 6]}",10
"{0: [80, 18], 1: [83, 81, 2, 46, 70], 2: [76, 25, 22, 57, 6], 3: [52, 91], 4: [55, 87, 12, 90], 5: [85, 84], 6: [5, 89, 92], 7: [20, 30], 8: [9, 10], 9: [67, 59], 10: [86, 24], 11: [78, 27], 12: [61, 28]}",13
